ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"163","1910",1.33,"75",0,0,0,0,-0.621398086502712,-0.610740776016872,-0.503247137024563,-0.00019064611432329,0,0,0,0
"164","1910",1.33,"75",0,0,0,0,-0.621398086502712,-0.610740776016872,-0.503247137024563,-0.00019064611432329,0,0,0,0
"165","1909",2100.19,"75",0,0,0,0,-0.103868888341822,-0.0861580573255196,-0.0617292650276795,-0.00862014421727508,0,0,0,0
"166","1909",62.9173,"75",0,0,0,0,-0.65155690908432,-0.651419878005981,-0.64616596698761,-0.316289246082306,0,0,0,0
"167","1909",732.32,"100",0,0,0,0,-4.36287120205226e-021,-1.77509441292015e-021,-1.01931255329139e-021,-2.8397381733988e-023,0,0,0,0
"168","1908",283.64,"100",-0.218006908893585,-0.211213827133179,-0.154533326625824,-0.0566592216491699,0,0,0,0,0,0,0,0
"169","1908",319.31,"75",0,0,0,0,-0.572407888248563,-0.451089667156339,-0.212442295625806,-0.0144391190260649,-1.06408513998821e-020,-1.06408513998821e-020,0,0
"170","1907",37.9,"100",0,0,0,0,-0.0444947930518538,-0.0421064088586718,-0.0240660032723099,-0.0039940036367625,0,0,0,0
"171","1906",37.9,"100",0,0,0,0,-0.0444947930518538,-0.0421064088586718,-0.0240660032723099,-0.0039940036367625,0,0,0,0
"172","1906",1.34,"50",0,0,0,0,-0.210770058678463,-0.185022491263226,-0.10864435438998,-0.0083653733599931,0,0,0,0
"173","1906",1.755,"75",-0.409566938877106,-0.391626536846161,-0.230772078037262,-0.0601938366889954,0,0,0,0,0.00127945432905108,0.00120276177767664,0.00106368657725398,0.000593274540733546
"174","1905",1.34,"50",0,0,0,0,-0.210770058678463,-0.185022491263226,-0.10864435438998,-0.0083653733599931,0,0,0,0
"175","1904",0.7,"75",-0.462906181812286,-0.437382996082306,-0.302683264017105,0,0,0,0,0,0,0,0,0
